date,startup,vertical,subvertical,city,investors,rounds,amount
2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,Rajesh Arora,Seed Funding,4.125
2016-10-11,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,Arkas Industries,Seed Funding,4.125
2016-10-12,ZipLoan,Consumer Internet,online lending platform,Delhi,Arun Venkatachalam,Seed Funding,0.0
2016-10-12,ZipLoan,Consumer Internet,online lending platform,Delhi,\\Xc2\\Xa0 Badal Malick,Seed Funding,0.0
2016-10-13,FabAlley,ECommerce,online fashion brand store,Noida,Fao Ventures,Private Equity,16.5
2016-10-13,FabAlley,ECommerce,online fashion brand store,Noida,Tushar Singh,Private Equity,16.5
2016-10-13,FabAlley,ECommerce,online fashion brand store,Noida,Ranjan Sharma,Private Equity,16.5
2016-10-13,RoboVac,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding,3.7125
2016-10-14,ISFC,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,49.5
2016-10-14,BeatRoute,Technology,SAAS based mobile application platform,Gurgaon,Quarizon Consultancy Services Llp,Seed Funding,0.0
2016-10-14,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,Mumbai,Karan Bhagat,Seed Funding,0.0
2016-10-15,DailyHunt,Consumer Internet,Vernacular content mobile app,Bengaluru,Bytedance,Private Equity,206.25
2016-10-15,DailyHunt,Consumer Internet,Vernacular content mobile app,Bengaluru,Arun Sarin,Private Equity,206.25
2016-10-15,DailyHunt,Consumer Internet,Vernacular content mobile app,Bengaluru,\\Xc2\\Xa0 Falcon Edge,Private Equity,206.25
2016-10-15,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,Mayank Shah,Seed Funding,8.25
2016-10-15,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,Shreyans Shah,Seed Funding,8.25
2016-10-17,Trilyo,Technology,B2B SAAS based product,Bengaluru,Vishnu Bhat,Seed Funding,0.0
2016-10-17,Trilyo,Technology,B2B SAAS based product,Bengaluru,Rajiv Lunkad,Seed Funding,0.0
2016-10-17,Trilyo,Technology,B2B SAAS based product,Bengaluru,Naresh Ravindranath,Seed Funding,0.0
2016-10-17,Rooter,Consumer Internet,Sports Social Network mobile app,Delhi,Boman Irani,Seed Funding,0.0
2016-10-17,Rooter,Consumer Internet,Sports Social Network mobile app,Delhi,Dhruv Chitgopekar,Seed Funding,0.0
2016-10-17,Rooter,Consumer Internet,Sports Social Network mobile app,Delhi,Prantik Dasgupta,Seed Funding,0.0
2016-10-17,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding,2.475
2016-10-17,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,132.0
2016-10-18,3Dexter,Technology,3D Printing Solutions for Edu space,Delhi,Newbie Promoters,Seed Funding,1.2375
2016-10-18,MySUN,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,20.625
2016-10-18,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,Bengaluru,Tlabs,Seed Funding,0.0
2016-10-19,Furlenco,Consumer Internet,Online Furniture Rental platform,Bengaluru,Lightbox Ventures,Private Equity,247.5
2016-10-19,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,6.1875
2016-10-20,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,0.0
2016-10-21,ChatOnGo,Consumer Internet,Hyperlocal Communication Mobile app,Mumbai,Janak Jain,Seed Funding,2.475
2016-10-24,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,Iifl Seed Ventures Fund,Private Equity,61.875
2016-10-24,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,Mayfield Ventures,Private Equity,61.875
2016-10-25,Pickrr,Technology,Courier Logistics & Order management Solutions,Delhi,Swastika Company Ltd,Seed Funding,0.0
2016-10-25,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,0.825
